Elapsed time;POST: createOrder
07:16:00,500;2618.0
07:16:01,500;695.6
07:16:02,0;410.6315789473685
07:16:02,500;109.81818181818181
07:16:03,0;57.75
07:16:03,500;66.76923076923077
07:16:04,0;61.6
07:16:04,500;63.642857142857146
07:16:05,0;62.588235294117645
07:16:05,500;62.23529411764706
07:16:06,0;60.0
07:16:06,500;73.13636363636363
07:16:07,0;75.61111111111111
07:16:07,500;86.16666666666667
07:16:08,0;70.32142857142857
07:16:08,500;53.52173913043478
07:16:09,0;63.16
07:16:09,500;80.21428571428571
07:16:10,0;84.83333333333333
07:16:10,500;56.0
07:16:11,0;53.41379310344828
07:16:11,500;78.26470588235294
07:16:12,0;126.16666666666667
07:16:12,500;94.72222222222223
07:16:13,0;114.6923076923077
07:16:13,500;255.46874999999994
07:16:14,0;247.92857142857142
07:16:14,500;83.95238095238093
07:16:15,0;66.56756756756756
07:16:15,500;76.8888888888889
07:16:16,0;51.6
07:16:16,500;100.575
07:16:17,0;81.33333333333333
07:16:17,500;104.70454545454545
07:16:18,0;92.59574468085107
07:16:18,500;106.47826086956522
07:16:19,0;105.17391304347827
07:16:19,500;151.8958333333333
07:16:20,0;302.3333333333333
07:16:20,500;308.15
07:16:21,0;263.2686980609418
07:16:21,500;225.6031746031746
07:16:22,0;261.52941176470586
07:16:22,500;433.60869565217394
07:16:23,0;520.0217391304345
07:16:23,500;684.6438791732911
07:16:24,0;924.0952380952381
07:16:24,500;978.6046511627907
07:16:25,0;1077.0400000000006
07:16:25,500;1302.1351351351354
07:16:26,0;1528.1714285714286
07:16:26,500;1612.3064516129032
07:16:27,0;1752.2444444444445
07:16:27,500;1942.8157894736842
07:16:28,0;2170.0731707317073
07:16:28,500;2337.825
07:16:29,0;2553.395348837209
07:16:29,500;2586.6133333333332
07:16:30,0;2628.923076923077
07:16:30,500;2396.464788732394
07:16:31,0;2135.235294117647
07:16:31,500;2097.9189189189187
07:16:32,0;2006.35593220339
07:16:32,500;1886.2857142857142
07:16:33,0;1842.0545454545454
07:16:33,500;1854.0700280112044
07:16:34,0;1892.75
07:16:34,500;1937.4868421052631
07:16:35,0;1949.6869300911853
07:16:35,500;2060.9500000000003
07:16:36,0;2180.75
07:16:36,500;2225.0259740259735
07:16:37,0;2226.2978723404253
07:16:37,500;2196.058208955225
07:16:38,0;2019.8947368421052
07:16:38,500;1976.5294117647059
07:16:39,0;2020.0851063829787
07:16:39,500;2073.9531250000005
07:16:40,0;2063.2978723404253
07:16:40,500;2177.9038461538466
07:16:41,0;2179.6857142857148
07:16:41,500;2219.7142857142862
07:16:42,0;2276.1714285714284
07:16:42,500;2117.3015873015866
07:16:43,0;2026.4342105263158
07:16:43,500;1885.6949152542372
07:16:44,0;1785.7402597402597
07:16:44,500;1805.5901639344263
07:16:45,0;1834.6091666666666
07:16:45,500;1758.1649484536083
07:16:46,0;1659.557142857143
07:16:46,500;1473.8755555555554
07:16:47,0;1246.2362204724407
07:16:47,500;1091.4659090909088
07:16:48,0;910.5486725663717
07:16:48,500;607.1393442622953
07:16:49,0;335.23364485981307
07:16:49,500;144.96842105263147
07:16:50,0;75.75400943396228
07:16:50,500;41.146666666666654
07:16:51,0;61.41333333333332
07:16:51,500;62.95454545454545
07:16:52,0;87.87654320987654
07:16:52,500;92.84210526315789
07:16:53,0;135.96551724137927
07:16:53,500;211.52272727272728
07:16:54,0;372.5813953488372
07:16:54,500;522.8688524590164
07:16:55,0;659.0909090909092
07:16:55,500;791.52
07:16:56,0;1008.2857142857143
07:16:56,500;1217.7600000000002
07:16:57,0;1302.5483870967741
07:16:57,500;1388.950819672131
07:16:58,0;1602.9772727272727
07:16:58,500;1713.8028169014085
07:16:59,0;1868.421052631579
07:16:59,500;2096.0
07:17:00,0;2292.842105263158
07:17:00,500;2658.477611940298
07:17:01,0;2764.9444444444443
07:17:01,500;3040.641975308642
07:17:02,0;2558.6153846153848
07:17:02,500;2597.0
07:17:03,0;2833.8653846153834
07:17:03,500;2828.3648648648655
07:17:04,0;2599.4285714285716
07:17:04,500;2602.9705882352946
07:17:05,0;2490.6102819237135
07:17:05,500;2757.184210526316
07:17:06,0;2377.5849056603774
07:17:06,500;2194.456521739131
07:17:07,0;2653.489361702128
07:17:07,500;2686.822222222222
07:17:08,0;3096.0
07:17:08,500;2807.8484848484854
07:17:09,0;3103.0652173913045
07:17:09,500;3304.1481481481483
07:17:10,0;3517.4222222222224
07:17:10,500;3337.3
07:17:11,0;2835.1777777777784
07:17:11,500;2895.3333333333335
07:17:12,0;2651.6078431372543
07:17:12,500;2552.031746031747
07:17:13,0;2284.2941176470586
07:17:13,500;2229.851063829788
07:17:14,0;2305.4324324324334
07:17:15,0;3134.490909090909
07:17:15,500;2810.0533333333333
07:17:16,0;2887.114285714286
07:17:16,500;3120.6
07:17:17,500;2423.241379310345
07:17:18,0;2444.6097560975604
07:17:18,500;2418.890625
07:17:19,0;2378.8478260869565
07:17:19,500;2051.825
07:17:20,0;2057.271739130435
07:17:20,500;1965.7011494252874
07:17:21,0;1848.12
07:17:21,500;1684.9
07:17:22,0;1589.7701149425288
07:17:22,500;1652.9607843137248
07:17:23,0;1778.9710144927535
07:17:23,500;1774.5131578947369
07:17:24,0;1736.0875
07:17:24,500;1738.5737704918033
07:17:25,0;1636.4938271604938
07:17:25,500;1633.7865168539327
07:17:26,0;1570.0
07:17:26,500;1728.0
07:17:27,0;1772.3417721518988
07:17:27,500;1908.0188679245282
07:17:28,0;1898.4583333333333
07:17:28,500;1795.4642857142858
07:17:29,0;1750.016393442623
07:17:29,500;1780.1136363636363
07:17:30,0;1908.5806451612902
07:17:30,500;2044.9772727272727
07:17:31,0;2101.9139784946237
07:17:31,500;1981.9545454545455
07:17:32,0;2100.8676470588234
07:17:32,500;2207.127272727272
07:17:33,0;2190.3469387755094
07:17:33,500;2463.1590909090905
07:17:34,0;2161.696428571428
07:17:34,500;2282.5454545454536
07:17:35,0;2333.5833333333335
07:17:35,500;2422.7764705882346
07:17:36,0;2000.3823529411766
07:17:36,500;2184.765957446808
07:17:37,0;2402.2542372881344
07:17:37,500;2547.709677419355
07:17:38,0;2386.178571428572
07:17:38,500;2566.0652173913045
07:17:39,0;2538.219178082192
07:17:39,500;2284.7526881720437
07:17:40,0;1859.8620689655172
07:17:40,500;1828.4705882352941
07:17:41,0;1719.3142857142857
07:17:41,500;2038.304347826087
07:17:42,0;2030.4102564102564
07:17:42,500;2373.0491803278687
07:17:43,0;2553.0232558139537
07:17:43,500;2097.4
07:17:44,0;2527.6153846153848
07:17:44,500;2864.4444444444443
07:17:45,0;2815.1120689655163
07:17:45,500;1784.4285714285713
07:17:46,0;2244.1111111111113
07:17:46,500;2312.391304347825
07:17:47,0;2242.5925925925935
07:17:47,500;2097.5000000000005
07:17:48,0;1483.714285714286
07:17:48,500;1361.573033707865
07:17:49,0;1208.7592592592591
07:17:49,500;1120.9041095890414
07:17:50,0;1054.6987951807234
07:17:50,500;1047.7315508021388
07:17:51,0;918.4318181818181
07:17:51,500;857.1408450704225
07:17:52,0;918.7792207792207
07:17:52,500;772.4949494949493
07:17:53,0;733.2105263157895
07:17:53,500;1237.4848484848485
07:17:54,0;1562.1666666666667
07:17:54,500;1722.4285714285713
07:17:55,0;2357.0
07:17:55,500;2551.6181818181817
07:17:56,0;2602.357142857142
07:17:56,500;2804.876923076923
07:17:57,0;2880.6938775510203
07:17:58,0;2991.75
07:17:58,500;3026.2923076923075
07:17:59,0;2988.901960784314
07:17:59,500;3016.9310344827586
07:18:00,0;3042.3617021276596
07:18:00,500;3153.5555555555557
07:18:01,0;3152.8333333333335
07:18:01,500;3118.5
07:18:02,0;3344.586956521739
07:18:02,500;3334.327272727273
07:18:03,0;3323.098039215686
07:18:03,500;3411.324324324324
07:18:04,0;3387.9166666666665
07:18:04,500;3304.9375
07:18:05,0;3421.189189189189
07:18:05,500;3390.5535714285716
07:18:06,0;3490.5454545454545
07:18:06,500;3610.3076923076924
07:18:07,0;3552.446808510638
07:18:07,500;3286.714285714286
07:18:08,0;3316.125
07:18:08,500;3447.0
07:18:09,0;3375.2
07:18:09,500;3113.981818181818
07:18:10,0;3124.549019607843
07:18:10,500;3026.3793103448274
07:18:11,0;2885.0666666666666
07:18:11,500;2897.5945945945946
07:18:12,0;3006.6363636363635
07:18:13,0;3733.189655172414
07:18:13,500;3813.435483870968
07:18:14,0;3735.55
07:18:14,500;3487.56
07:18:15,0;3290.0666666666666
07:18:15,500;2522.217391304348
07:18:16,0;2603.8043478260865
07:18:16,500;2647.5444444444433
07:18:17,0;1984.3736263736264
07:18:17,500;1565.2463768115938
07:18:18,0;1405.1666666666667
07:18:18,500;1295.5434782608695
07:18:19,0;1047.4741379310346
07:18:19,500;840.7340425531914
07:18:20,0;751.0113636363636
07:18:20,500;605.13
07:18:21,0;464.64130434782606
07:18:21,500;406.0470588235294
07:18:22,0;311.67777777777786
07:18:22,500;199.98986486486484
07:18:23,0;70.37500000000003
07:18:23,500;73.49206349206351
07:18:24,0;136.59722222222229
07:18:24,500;75.56818181818181
07:18:25,0;44.39130434782608
07:18:25,500;98.58666666666667
07:18:26,0;67.35897435897434
07:18:26,500;68.13698630136986
07:18:27,0;90.22666666666667
07:18:27,500;117.3076923076923
07:18:28,0;301.55102040816314
07:18:28,500;492.17391304347825
07:18:29,0;653.4576271186442
07:18:29,500;742.6521739130435
07:18:30,0;820.0862068965517
07:18:30,500;1009.1379310344828
07:18:31,0;1160.1960784313724
07:18:31,500;1406.6491228070179
07:18:32,0;1410.6486486486485
07:18:32,500;1663.5384615384614
07:18:33,0;2196.714285714286
07:18:33,500;2596.7916666666665
07:18:34,0;2587.5
07:18:34,500;3124.9074074074074
07:18:35,0;3041.714285714286
07:18:35,500;3403.6153846153848
07:18:36,0;3323.410714285714
07:18:36,500;2866.25
07:18:37,0;2772.659574468085
07:18:37,500;2810.111111111111
