Elapsed time;POST: createOrder
12:23:07,500;563.4285714285714
12:23:08,0;565.6666666666666
12:23:08,500;608.8571428571429
12:23:09,0;251.72222222222223
12:23:09,500;74.2
12:23:10,0;82.72727272727273
12:23:10,500;66.42857142857143
12:23:11,0;63.916666666666664
12:23:11,500;64.2
12:23:12,0;69.70588235294117
12:23:12,500;72.375
12:23:13,0;150.21052631578948
12:23:13,500;95.82352941176471
12:23:14,0;125.15789473684211
12:23:14,500;137.46428571428572
12:23:15,0;115.3125
12:23:15,500;173.96774193548387
12:23:16,0;117.5
12:23:16,500;69.78125
12:23:17,0;51.32142857142857
12:23:17,500;71.00000000000003
12:23:18,0;152.9
12:23:18,500;126.86046511627907
12:23:19,0;125.88888888888889
12:23:19,500;172.8125
12:23:20,0;163.11111111111111
12:23:20,500;235.175
12:23:21,0;80.60869565217392
12:23:21,500;118.5
12:23:22,0;191.59259259259258
12:23:22,500;256.1568627450979
12:23:23,0;72.15094339622645
12:23:23,500;89.44444444444444
12:23:24,0;62.468085106382986
12:23:24,500;78.73809523809524
12:23:25,0;82.5
12:23:25,500;132.31914893617028
12:23:26,0;133.39215686274505
12:23:26,500;223.56410256410257
12:23:27,0;238.71698113207546
12:23:27,500;247.10416666666666
12:23:28,0;425.83870967741933
12:23:28,500;487.8888888888889
12:23:29,0;502.3695652173913
12:23:29,500;726.7931034482758
12:23:30,0;883.7539682539682
12:23:30,500;1168.918918918919
12:23:31,0;1433.6
12:23:31,500;1561.5294117647059
12:23:32,0;1577.8461538461538
12:23:32,500;1669.5438596491229
12:23:33,0;1702.3181818181818
12:23:33,500;1843.0576923076924
12:23:34,0;1938.5094444444444
12:23:34,500;1982.877192982456
12:23:35,0;2049.6702898550725
12:23:35,500;2229.461538461538
12:23:36,0;2299.6037735849045
12:23:36,500;2227.328767123288
12:23:37,0;2266.2040816326517
12:23:37,500;2174.2903225806454
12:23:38,0;2032.7692307692307
12:23:38,500;2204.0837320574165
12:23:39,0;2225.7469696969692
12:23:39,500;2285.7959183673483
12:23:40,0;2245.565789473684
12:23:40,500;2084.508403361345
12:23:41,0;1954.2096774193549
12:23:41,500;1911.9384615384615
12:23:42,0;1930.7551020408164
12:23:42,500;2048.892307692309
12:23:43,0;2028.03125
12:23:43,500;2062.978260869565
12:23:44,0;2122.7462686567164
12:23:44,500;2061.7142857142853
12:23:45,0;2139.13043478261
12:23:45,500;2051.2419354838707
12:23:46,0;1931.3641975308642
12:23:46,500;1854.9056603773586
12:23:47,0;1868.3743396226414
12:23:47,500;1974.55223880597
12:23:48,0;2023.9402985074628
12:23:48,500;1979.8142857142857
12:23:49,0;1594.5909754672896
12:23:49,500;1198.3557692307695
12:23:50,0;1020.1839080459769
12:23:50,500;934.5934065934066
12:23:51,0;798.0148148148149
12:23:51,500;798.8115942028985
12:23:52,0;764.4216867469881
12:23:52,500;673.8555555555557
12:23:53,0;530.473684210526
12:23:53,500;362.6020408163267
12:23:54,0;223.6736842105264
12:23:54,500;100.73913043478261
12:23:55,0;55.71232876712329
12:23:55,500;48.02857142857143
12:23:56,0;56.55263157894737
12:23:56,500;64.38356164383562
