Elapsed time;POST: createOrder
03:46:01,500;2316.0
03:46:02,0;441.8333333333333
03:46:02,500;97.8
03:46:18,0;222.0
03:46:18,500;485.77272727272725
03:46:19,0;706.8235294117648
03:46:19,500;1136.7058823529412
03:46:20,0;1434.111111111111
03:46:20,500;1495.468660968661
03:46:21,0;1841.7727272727273
03:46:21,500;2058.355555555556
03:46:22,0;1988.0
03:46:22,500;2184.1874999999995
03:46:23,0;2129.0759637188207
03:46:23,500;2223.127659574468
03:46:24,0;2322.366666666667
03:46:24,500;2589.925
03:46:25,0;2633.9791666666674
03:46:25,500;2672.3928571428573
03:46:26,0;2956.3409090909095
03:46:26,500;2563.955882352942
03:46:27,0;2267.166666666667
03:46:27,500;2184.1600000000008
03:46:28,0;2209.0461822660095
03:46:28,500;2089.6438356164376
03:46:29,0;2159.224999999999
03:46:29,500;2212.303571428573
03:46:30,0;2218.3793103448284
03:46:30,500;2241.937500000001
03:46:31,0;2263.9000000000005
03:46:31,500;2181.8444444444444
03:46:32,0;2318.4651162790697
03:46:32,500;2321.6206896551735
03:46:33,0;2423.2203389830506
03:46:33,500;2505.236842105263
03:46:34,0;2444.4920634920636
03:46:34,500;2198.051492537313
03:46:35,0;2147.935483870968
03:46:35,500;2151.7777777777783
03:46:36,0;2112.5365853658536
03:46:36,500;2418.4883720930234
03:46:37,0;2430.0862068965516
03:46:37,500;2515.4599999999996
03:46:38,0;2606.4333333333334
03:46:38,500;2367.6363636363626
03:46:39,0;2240.824561403509
03:46:39,500;2185.6538461538466
03:46:40,0;2381.925925925926
03:46:40,500;2458.1190476190473
03:46:41,0;2757.5000000000005
03:46:41,500;2655.637931034483
03:46:42,0;2643.0666666666657
03:46:42,500;2133.0000000000005
03:46:43,0;2013.3428571428572
03:46:43,500;1847.6666666666667
03:46:44,0;1996.910447761194
03:46:44,500;1942.3125
03:46:45,0;2060.274509803922
03:46:45,500;2114.754098360654
03:46:46,0;1986.3970588235295
03:46:46,500;1964.6024096385543
03:46:47,0;1756.4444444444443
03:46:47,500;1678.7726190476187
03:46:48,0;1789.245283018868
03:46:48,500;1886.6538461538462
03:46:49,0;2098.307477009195
03:46:49,500;2154.42
03:46:50,0;2324.8
03:46:50,500;2163.214285714285
03:46:51,0;2210.7857142857133
03:46:51,500;2086.4074074074074
03:46:52,0;1869.857551487414
03:46:52,500;1644.659340659341
03:46:53,0;1493.7261904761908
03:46:53,500;1495.0617283950614
03:46:54,0;1349.5536128080894
03:46:54,500;1151.065420560748
03:46:55,0;921.9313725490196
03:46:55,500;775.2450980392157
03:46:56,0;648.7560975609755
03:46:56,500;466.04999999999995
03:46:57,0;181.11111111111111
03:46:57,500;64.37037037037037
03:46:58,0;68.12
03:46:58,500;44.24324324324324
03:46:59,0;61.43859649122807
03:46:59,500;176.3164556962025
03:47:00,0;212.46666666666667
03:47:03,0;3161.9210526315787
03:47:03,500;3385.78125
03:47:04,0;3690.5652173913045
03:47:04,500;4036.205882352941
03:47:05,0;4241.024390243902
03:47:05,500;4432.374999999999
03:47:06,0;4861.0
03:47:06,500;5380.470588235294
03:47:07,0;5625.7
03:47:07,500;5717.578947368421
03:47:08,0;4822.25
03:47:08,500;4716.874999999999
03:47:09,0;4646.846153846154
03:47:09,500;4633.621621621622
03:47:10,0;4771.083333333334
03:47:10,500;4940.588235294118
03:47:11,0;4871.125
03:47:11,500;2964.4
03:47:12,0;3268.15
03:47:12,500;4876.499999999998
03:47:13,0;5241.409090909092
03:47:13,500;4365.647058823527
03:47:14,0;3817.0799999999995
03:47:14,500;5681.893939393939
03:47:15,0;3925.9014084507044
03:47:15,500;2409.145833333332
03:47:16,0;2135.528301886792
03:47:16,500;2164.75925925926
03:47:17,0;2205.483870967742
03:47:17,500;2191.6376811594205
03:47:18,0;2018.6571428571428
03:47:18,500;1851.5641025641025
03:47:19,0;1884.0
03:47:19,500;1785.75
03:47:20,0;1773.475
03:47:20,500;1911.7551020408164
03:47:21,0;1895.3823529411766
03:47:21,500;1862.7719298245613
03:47:22,0;2121.978260869565
03:47:22,500;2156.8749999999986
03:47:23,0;2319.9600000000005
03:47:23,500;2199.904109589042
03:47:24,0;2070.5892857142867
03:47:24,500;2075.6249999999995
03:47:25,0;2183.6530612244906
03:47:25,500;2229.460000000001
03:47:26,0;2343.2950819672137
03:47:26,500;2208.32
03:47:27,0;2009.4406779661017
03:47:27,500;1969.0253164556962
03:47:28,0;1792.44578313253
03:47:28,500;1707.2588235294118
03:47:29,0;1515.3086419753085
03:47:29,500;1435.7
03:47:30,0;1359.9638554216867
03:47:30,500;1344.5454545454545
03:47:32,0;3230.25
03:47:32,500;3414.4545454545455
03:47:33,0;3621.431818181818
03:47:33,500;3843.2820512820513
03:47:34,0;4103.615384615385
03:47:34,500;4316.1463414634145
03:47:36,0;5743.333333333333
03:47:36,500;6000.805555555556
03:47:37,0;4907.45
03:47:37,500;4565.279069767442
03:47:38,0;4461.882352941178
03:47:38,500;4381.333333333333
03:47:39,0;5006.333333333333
03:47:39,500;5281.25
03:47:40,0;5321.857142857143
03:47:40,500;4537.2962962962965
03:47:41,0;4468.066666666667
03:47:41,500;3964.0555555555557
03:47:42,0;3759.4666666666667
03:47:42,500;3810.1492537313443
03:47:43,0;4545.311111111111
03:47:43,500;3517.5857142857153
03:47:44,0;2158.500000000002
03:47:44,500;1989.3714285714286
03:47:45,0;1789.4102564102564
03:47:45,500;1678.6470588235295
03:47:46,0;1719.860759493671
