Elapsed time;POST: createOrder
11:57:24,500;1167.0
11:57:25,0;150.0
11:57:25,500;82.0
11:57:26,500;137.66666666666666
11:57:27,500;92.66666666666667
11:57:28,0;79.5
11:57:28,500;105.42857142857143
11:57:29,0;81.66666666666667
11:57:29,500;79.2
11:57:30,0;73.42857142857143
11:57:30,500;81.16666666666667
11:57:31,0;74.0
11:57:31,500;84.375
11:57:32,0;83.75
11:57:32,500;110.66666666666667
11:57:33,0;133.71428571428572
11:57:33,500;86.4
11:57:34,0;83.11111111111111
11:57:34,500;73.8
11:57:35,0;75.81818181818181
11:57:35,500;81.5
11:57:36,0;77.45454545454545
11:57:36,500;73.18181818181819
11:57:37,0;75.9090909090909
11:57:37,500;78.18181818181819
11:57:38,0;76.3076923076923
11:57:38,500;81.53846153846153
11:57:39,0;82.41666666666667
11:57:39,500;81.57142857142857
11:57:40,0;79.58333333333333
11:57:40,500;77.8
11:57:41,0;79.85714285714286
11:57:41,500;76.8125
11:57:42,0;75.21428571428571
11:57:42,500;77.66666666666667
11:57:43,0;78.46666666666667
11:57:43,500;81.85
11:57:44,0;75.625
11:57:44,500;86.3125
11:57:45,0;86.33333333333333
11:57:45,500;74.29411764705883
11:57:46,0;79.0
11:57:46,500;76.0625
11:57:47,0;79.625
11:57:47,500;91.4090909090909
11:57:48,0;97.5
11:57:48,500;79.66666666666667
11:57:49,0;82.85
11:57:49,500;85.18055555555556
11:57:50,0;79.80952380952381
11:57:50,500;76.52380952380952
11:57:51,0;77.42857142857143
11:57:51,500;78.8
11:57:52,0;121.76923076923077
11:57:52,500;74.58333333333333
11:57:53,0;85.76190476190476
11:57:53,500;76.88000000000002
11:57:54,0;88.20000000000002
11:57:54,500;79.29629629629629
11:57:55,0;97.60714285714286
11:57:55,500;75.0
11:57:56,0;72.23333333333333
11:57:56,500;75.20833333333334
11:57:57,0;128.34285714285713
11:57:57,500;74.06250000000003
11:57:58,0;63.89655172413791
11:57:58,500;57.25
11:57:59,0;79.448275862069
11:57:59,500;80.51515151515152
11:58:00,0;74.8529411764706
11:58:00,500;91.78125
11:58:01,0;125.58823529411765
11:58:01,500;105.24324324324324
11:58:02,0;258.3333333333333
11:58:02,500;328.969696969697
11:58:03,0;398.1875
11:58:03,500;499.2758620689655
11:58:04,0;585.4166666666666
11:58:04,500;814.1153846153846
11:58:05,0;828.0816326530612
11:58:05,500;703.0512820512821
11:58:06,0;523.6376811594205
11:58:06,500;219.98
11:58:07,0;312.6296296296296
11:58:07,500;390.56666666666666
11:58:08,0;644.9666666666669
11:58:08,500;652.6458333333337
11:58:09,0;672.8888888888889
11:58:09,500;894.625
11:58:10,0;899.7833333333333
11:58:10,500;838.5128205128206
11:58:11,0;926.025
11:58:11,500;920.8584305408273
11:58:12,0;1018.4047619047619
11:58:12,500;951.2950819672132
11:58:13,0;878.064024390244
11:58:13,500;905.3823529411765
11:58:14,0;680.0441176470588
11:58:14,500;563.0714285714288
11:58:15,0;443.6896551724138
11:58:15,500;431.672131147541
11:58:16,0;383.5
11:58:16,500;321.50632911392404
11:58:17,0;213.64705882352942
11:58:17,500;316.4871794871795
11:58:18,0;484.42
11:58:18,500;649.0800000000002
11:58:19,0;795.15
11:58:19,500;929.5714285714286
11:58:20,0;1270.6250000000002
11:58:20,500;1363.6800000000003
11:58:21,0;1646.923076923077
11:58:21,500;1768.484375
11:58:22,0;1584.6666666666665
11:58:22,500;1203.1967213114758
11:58:23,0;1295.5
11:58:23,500;1471.3623188405797
11:58:24,0;1515.0983606557377
11:58:24,500;1382.9833333333333
11:58:25,0;1451.8043478260872
11:58:25,500;1537.3142857142857
11:58:26,0;1444.2784810126584
11:58:26,500;1188.2666666666667
11:58:27,0;1225.1206896551723
11:58:27,500;1288.92
11:58:28,0;1294.2289322617683
11:58:28,500;1233.6086956521742
11:58:29,0;1304.4927536231885
11:58:29,500;1368.6451612903227
11:58:30,0;1363.7564102564102
11:58:30,500;1286.725
11:58:31,0;1210.768115942029
11:58:31,500;1262.6000000000001
11:58:32,0;1253.0229885057472
11:58:32,500;1211.8461538461538
11:58:33,0;1269.1176470588234
11:58:33,500;1336.875
11:58:34,0;1279.2159090909097
11:58:34,500;1204.0869565217395
11:58:35,0;1287.7666666666669
11:58:35,500;1393.4705882352941
11:58:36,0;1367.0519480519483
11:58:36,500;1334.9692307692308
11:58:37,0;1469.3111111111111
11:58:37,500;1652.6440677966102
11:58:38,0;1729.3934426229507
11:58:38,500;1756.1714285714286
11:58:39,0;1704.304347826087
11:58:39,500;1859.0697674418604
11:58:40,0;2032.6507936507937
11:58:40,500;1965.8297872340424
11:58:41,0;2210.0714285714284
11:58:41,500;2104.1206896551726
11:58:42,0;2007.1014492753623
11:58:42,500;1919.311475409836
11:58:43,0;1922.0243902439024
11:58:43,500;1965.6315789473683
11:58:44,0;1999.5441176470588
11:58:44,500;2017.3111111111111
11:58:45,0;2096.96
11:58:45,500;2034.406779661017
11:58:46,0;1990.3125
11:58:46,500;1765.2043010752689
11:58:47,0;1549.6538461538462
11:58:47,500;1602.079365079365
11:58:48,0;1644.1176470588234
11:58:48,500;1872.6455696202531
11:58:49,0;1908.9074074074074
11:58:49,500;1976.107142857143
11:58:50,0;2011.0714285714287
11:58:50,500;1871.7285714285715
11:58:51,0;1892.46
11:58:51,500;1920.3
11:58:52,0;1877.641975308642
11:58:52,500;1865.8314606741574
11:58:53,0;1684.865671641791
11:58:53,500;1592.7951807228915
11:58:54,0;1572.6913580246917
11:58:54,500;1569.5324675324675
11:58:55,0;1643.906976744186
11:58:55,500;1838.8805970149253
11:58:56,0;1866.8192771084337
11:58:56,500;1795.7977528089887
11:58:57,0;1599.1690140845071
11:58:57,500;1567.123595505618
11:58:58,0;1521.8750000000002
11:58:58,500;1577.0845070422538
11:58:59,0;1589.325
11:58:59,500;1561.2125
11:59:00,0;1544.2666666666667
11:59:00,500;1459.132653061224
11:59:01,0;1431.6716417910445
11:59:01,500;1496.8076923076926
11:59:02,0;1599.7948717948718
11:59:02,500;1642.7349397590365
11:59:03,0;1572.2702702702704
11:59:03,500;1564.3125
11:59:04,0;1599.7532467532465
11:59:04,500;1592.0217391304352
11:59:05,0;1554.3692307692309
11:59:05,500;1608.7538461538463
11:59:06,0;1635.27
11:59:06,500;1528.242424242424
11:59:07,0;1394.4558823529412
11:59:07,500;1446.7922077922078
11:59:08,0;1550.4404761904761
11:59:08,500;1588.639534883721
11:59:09,0;1528.3636363636363
11:59:09,500;1510.2289156626505
11:59:10,0;1471.734693877551
11:59:10,500;1440.0555555555557
11:59:11,0;1372.8970588235295
11:59:11,500;1591.25
11:59:12,0;1669.1
11:59:12,500;1708.579545454545
11:59:13,0;1568.6285714285714
11:59:13,500;1576.974683544304
11:59:14,0;1600.7875000000001
11:59:14,500;1571.125
11:59:15,0;1561.9852941176468
11:59:15,500;1550.569767441861
11:59:16,0;1589.7906976744182
11:59:16,500;1435.4899999999998
11:59:17,0;1369.2999999999997
11:59:17,500;1313.3124999999998
11:59:18,0;1353.5662650602408
11:59:18,500;1430.474358974359
11:59:19,0;1517.253164556962
11:59:19,500;1544.6506024096386
11:59:20,0;1585.0285714285712
11:59:20,500;1515.1727272727273
11:59:21,0;1412.5555555555552
11:59:21,500;1317.777777777778
11:59:22,0;1385.6582278481017
11:59:22,500;1470.9651162790701
11:59:23,0;1422.9670329670325
11:59:23,500;1420.6506024096382
11:59:24,0;1427.8124999999998
11:59:24,500;1365.0576923076924
11:59:25,0;1285.7078651685392
11:59:25,500;1329.9135802469139
11:59:26,0;1383.7474747474744
11:59:26,500;1356.3465346534651
11:59:27,0;1289.255813953488
11:59:27,500;1334.2051282051286
11:59:28,0;1457.0104166666667
11:59:28,500;1420.02
