Elapsed time;POST: createOrder
11:57:24,500;929.6666666666666
11:57:25,0;151.0
11:57:25,500;82.66666666666667
11:57:26,500;138.5
11:57:27,500;93.33333333333333
11:57:28,0;79.5
11:57:28,500;105.42857142857143
11:57:29,0;82.0
11:57:29,500;79.2
11:57:30,0;73.85714285714286
11:57:30,500;81.33333333333333
11:57:31,0;74.28571428571429
11:57:31,500;84.875
11:57:32,0;84.375
11:57:32,500;111.0
11:57:33,0;134.0
11:57:33,500;86.5
11:57:34,0;83.55555555555556
11:57:34,500;74.3
11:57:35,0;76.66666666666667
11:57:35,500;81.6
11:57:36,0;77.81818181818181
11:57:36,500;73.5
11:57:37,0;77.16666666666667
11:57:37,500;78.36363636363636
11:57:38,0;76.6923076923077
11:57:38,500;81.92307692307692
11:57:39,0;82.23076923076923
11:57:39,500;82.0
11:57:40,0;79.76923076923075
11:57:40,500;78.2
11:57:41,0;79.8125
11:57:41,500;76.94117647058823
11:57:42,0;75.35714285714286
11:57:42,500;78.75
11:57:43,0;79.0625
11:57:43,500;82.05
11:57:44,0;75.94117647058823
11:57:44,500;86.5625
11:57:45,0;87.3157894736842
11:57:45,500;74.57894736842105
11:57:46,0;79.05
11:57:46,500;76.11764705882354
11:57:47,0;81.75
11:57:47,500;91.54545454545456
11:57:48,0;98.08695652173913
11:57:48,500;79.6842105263158
11:57:49,0;82.63157894736842
11:57:49,500;85.64
11:57:50,0;80.04761904761905
11:57:50,500;76.66666666666667
11:57:51,0;76.78835978835978
11:57:51,500;78.36363636363636
11:57:52,0;121.96153846153848
11:57:52,500;75.0
11:57:53,0;85.875
11:57:53,500;77.08
11:57:54,0;89.73076923076923
11:57:54,500;78.96153846153847
11:57:55,0;96.93103448275862
11:57:55,500;75.37037037037038
11:57:56,0;72.5
11:57:56,500;73.22727272727273
11:57:57,0;128.62857142857143
11:57:57,500;74.15625
11:57:58,0;64.63333333333333
11:57:58,500;57.535714285714285
11:57:59,0;79.6
11:57:59,500;80.75757575757575
11:58:00,0;75.05882352941177
11:58:00,500;92.0909090909091
11:58:01,0;125.73529411764706
11:58:01,500;105.48648648648648
11:58:02,0;261.0
11:58:02,500;329.1212121212121
11:58:03,0;398.53125
11:58:03,500;497.05
11:58:04,0;585.7500000000001
11:58:04,500;814.3076923076923
11:58:05,0;828.0851063829788
11:58:05,500;704.85
11:58:06,0;523.1857142857141
11:58:06,500;220.14
11:58:07,0;312.77777777777777
11:58:07,500;392.65833333333336
11:58:08,0;647.1333333333333
11:58:08,500;641.4897959183673
11:58:09,0;673.1481481481482
11:58:09,500;894.75
11:58:10,0;900.6271186440678
11:58:10,500;838.7692307692307
11:58:11,0;924.1794871794872
11:58:11,500;921.0493107104985
11:58:12,0;1018.5714285714286
11:58:12,500;951.4590163934425
11:58:13,0;872.1282051282051
11:58:13,500;907.1343283582089
11:58:14,0;679.7505843852271
11:58:14,500;563.2857142857143
11:58:15,0;443.86206896551727
11:58:15,500;431.8688524590164
11:58:16,0;383.78333333333336
11:58:16,500;322.30379746835445
11:58:17,0;213.76470588235293
11:58:17,500;318.77500000000003
11:58:18,0;481.53061224489795
11:58:18,500;649.3000000000002
11:58:19,0;795.325
11:58:19,500;929.7619047619048
11:58:20,0;1271.8541666666665
11:58:20,500;1363.8400000000006
11:58:21,0;1647.1923076923076
11:58:21,500;1768.7693121693123
11:58:22,0;1584.527027027027
11:58:22,500;1201.547222222223
11:58:23,0;1297.6153846153845
11:58:23,500;1471.4637681159418
11:58:24,0;1515.245901639344
11:58:24,500;1383.0999999999997
11:58:25,0;1451.6521739130435
11:58:25,500;1537.1658615136878
11:58:26,0;1444.4050632911396
11:58:26,500;1188.162162162162
11:58:27,0;1225.344827586207
11:58:27,500;1289.04
11:58:28,0;1294.0294117647059
11:58:28,500;1233.9558823529412
11:58:29,0;1304.6865671641795
