Elapsed time;POST: createOrder
08:06:17,0;410.5
08:06:17,500;82.0
08:06:18,0;80.0
08:06:18,500;94.0
08:06:19,0;78.5
08:06:19,500;76.5
08:06:20,0;74.0
08:06:20,500;80.57142857142857
08:06:21,500;202.42857142857142
08:06:22,0;78.57142857142857
08:06:22,500;79.5
08:06:23,0;76.57142857142857
08:06:23,500;72.5
08:06:24,0;76.71428571428571
08:06:24,500;73.625
08:06:25,0;77.25
08:06:25,500;70.33333333333333
08:06:26,0;76.75
08:06:26,500;77.3
08:06:27,0;76.9
08:06:27,500;74.0
08:06:28,0;74.0
08:06:28,500;72.2
08:06:29,0;76.45454545454545
08:06:29,500;77.25
08:06:30,0;66.58730158730158
08:06:30,500;72.45454545454545
08:06:31,0;70.92857142857142
08:06:31,500;62.8
08:06:32,0;74.07142857142857
08:06:32,500;73.92307692307692
08:06:33,0;71.85714285714286
08:06:33,500;75.08333333333333
08:06:34,0;71.06666666666666
08:06:34,500;77.66666666666667
08:06:35,0;83.3125
08:06:35,500;79.23529411764706
08:06:36,0;88.70588235294117
08:06:36,500;93.0625
08:06:37,0;80.76470588235294
08:06:37,500;80.6842105263158
08:06:38,0;78.76470588235294
08:06:38,500;77.0
08:06:39,0;82.6842105263158
08:06:39,500;79.14285714285714
08:06:40,0;73.73684210526316
08:06:40,500;71.25000000000001
08:06:41,0;59.95238095238095
08:06:41,500;63.857142857142854
08:06:42,0;66.22727272727273
08:06:42,500;68.33333333333333
08:06:43,0;78.47619047619048
08:06:43,500;81.1923076923077
08:06:44,0;78.55
08:06:44,500;77.95833333333333
08:06:45,0;72.4090909090909
08:06:45,500;72.95833333333333
08:06:46,0;76.93863636363636
08:06:46,500;79.12937062937061
08:06:47,0;76.9090909090909
08:06:47,500;78.04761904761905
08:06:48,0;77.67999999999999
08:06:48,500;77.55999999999999
08:06:49,0;79.47619047619048
08:06:49,500;73.38461538461539
08:06:50,0;73.08333333333334
08:06:50,500;77.12
08:06:51,0;77.55555555555557
08:06:51,500;72.87999999999998
08:06:52,0;74.65384615384617
08:06:52,500;78.92
08:06:53,0;76.10714285714286
08:06:53,500;74.58333333333333
08:06:54,0;82.25271739130434
08:06:54,500;76.53
08:06:55,0;70.32142857142857
08:06:55,500;56.84
08:06:56,0;58.733333333333334
08:06:56,500;67.4074074074074
08:06:57,0;72.89285714285714
08:06:57,500;71.33333333333333
08:06:58,0;69.7923076923077
08:06:58,500;71.55555555555556
08:06:59,0;73.70370370370371
08:06:59,500;67.79999999999998
08:07:00,0;72.5096153846154
08:07:00,500;55.233333333333334
08:07:01,0;54.58620689655172
08:07:01,500;56.666666666666664
08:07:02,0;58.38461538461539
08:07:02,500;61.9
08:07:03,0;55.58620689655172
08:07:03,500;78.45454545454545
08:07:04,0;81.8
08:07:04,500;84.8
08:07:05,0;67.53571428571428
08:07:05,500;66.33333333333331
08:07:06,0;60.96551724137931
08:07:06,500;59.58064516129032
08:07:07,0;56.0
08:07:07,500;64.8
08:07:08,0;58.18181818181818
08:07:08,500;61.14871794871795
08:07:09,0;59.0
08:07:09,500;63.94117647058826
08:07:10,0;60.18668252080856
08:07:10,500;54.64705882352941
08:07:11,0;58.32258064516129
08:07:11,500;57.233870967741936
08:07:12,0;55.970588235294116
08:07:12,500;54.75
08:07:13,0;52.55172413793103
08:07:13,500;57.05882352941177
08:07:14,0;55.90625
08:07:14,500;56.5
08:07:15,0;53.03125
08:07:15,500;49.8235294117647
08:07:16,0;53.625
08:07:16,500;62.3
08:07:17,0;64.35294117647061
08:07:17,500;62.51136363636363
08:07:18,0;62.74551971326166
08:07:18,500;57.88840830449827
08:07:19,0;67.78787878787877
08:07:19,500;67.51515151515152
08:07:20,0;55.5945945945946
08:07:20,500;59.27272727272727
08:07:21,0;64.17142857142858
08:07:21,500;62.57575757575758
08:07:22,0;66.38235294117646
08:07:22,500;62.3823529411765
08:07:23,0;55.3235294117647
08:07:23,500;55.23529411764706
08:07:24,0;61.8
08:07:24,500;53.48571428571429
08:07:25,0;50.58064516129032
08:07:25,500;52.15151515151515
