Elapsed time;POST: createOrder
14:59:09,500;668.3333333333334
14:59:10,500;75.33333333333333
14:59:11,0;72.5
14:59:11,500;62.333333333333336
14:59:12,0;62.666666666666664
14:59:12,500;57.5
14:59:13,0;70.33333333333333
14:59:13,500;64.5
14:59:14,0;64.4
14:59:14,500;76.83333333333333
14:59:15,0;55.0
14:59:15,500;62.0
14:59:16,0;54.833333333333336
14:59:16,500;56.142857142857146
14:59:17,0;53.0
14:59:17,500;57.857142857142854
14:59:18,0;65.33333333333333
14:59:18,500;55.75
14:59:19,0;51.44444444444444
14:59:19,500;50.333333333333336
14:59:20,0;55.888888888888886
14:59:20,500;50.9
14:59:21,0;46.81818181818182
14:59:21,500;48.8
14:59:22,0;53.81818181818182
14:59:22,500;45.833333333333336
14:59:23,0;49.333333333333336
14:59:23,500;52.38461538461539
14:59:24,0;48.38461538461539
14:59:24,500;46.61538461538461
14:59:25,0;45.84615384615385
14:59:25,500;48.53333333333333
14:59:26,0;49.0
14:59:26,500;45.5
14:59:27,0;45.6
14:59:27,500;44.9375
14:59:28,0;55.2
14:59:28,500;48.411764705882355
14:59:29,0;53.0
14:59:29,500;51.1764705882353
14:59:30,0;65.29411764705881
14:59:30,500;47.5
14:59:31,0;44.26315789473684
14:59:31,500;45.833333333333336
14:59:32,0;48.095238095238095
14:59:32,500;44.22222222222222
14:59:33,0;45.80952380952382
14:59:33,500;49.19047619047619
14:59:34,0;39.333333333333336
14:59:34,500;33.95238095238095
14:59:35,0;32.954545454545446
14:59:35,500;37.476190476190474
14:59:36,0;47.608695652173914
14:59:36,500;40.0
14:59:37,0;41.24
14:59:37,500;41.29166666666666
14:59:38,0;45.833333333333336
14:59:38,500;35.8076923076923
14:59:39,0;34.76923076923077
14:59:39,500;30.96
14:59:40,0;53.875
14:59:40,500;43.06666666666667
14:59:41,0;41.148148148148145
14:59:41,500;120.0
14:59:42,0;66.58064516129035
14:59:42,500;36.48387096774193
14:59:43,0;33.099999999999994
14:59:43,500;36.26666666666667
14:59:44,0;58.892857142857146
14:59:44,500;41.62162162162162
14:59:45,0;36.47058823529411
14:59:45,500;33.27272727272727
14:59:46,0;49.878787878787875
14:59:46,500;42.69444444444444
14:59:47,0;41.82352941176471
14:59:47,500;45.628571428571426
14:59:48,0;51.82857142857143
14:59:48,500;59.86486486486486
14:59:49,0;46.90909090909091
14:59:49,500;50.627906976744185
14:59:50,0;55.5
14:59:50,500;48.31707317073171
14:59:51,0;43.225
14:59:51,500;41.575
14:59:52,0;60.69444444444444
14:59:52,500;82.21739130434783
14:59:53,0;61.95079365079365
14:59:53,500;45.80487804878049
14:59:54,0;149.31428571428572
14:59:54,500;96.46428571428574
14:59:55,0;38.13333333333334
14:59:55,500;37.266666666666666
14:59:56,0;36.13953488372092
14:59:56,500;37.450980392156865
14:59:57,0;29.5531914893617
14:59:57,500;32.02127659574468
14:59:58,0;138.25806451612902
14:59:58,500;121.94202898550716
14:59:59,0;33.56
14:59:59,500;32.31481481481481
15:00:00,0;36.36
15:00:00,500;45.09090909090909
15:00:01,0;38.08771929824562
15:00:01,500;42.345454545454544
15:00:02,0;40.320754716981135
15:00:02,500;44.04545454545455
15:00:03,0;114.6470588235294
15:00:03,500;174.45977011494256
15:00:04,0;98.4047619047619
15:00:04,500;178.41975308641975
15:00:05,0;54.06153846153846
15:00:05,500;104.65517241379311
15:00:06,0;297.8372093023255
15:00:06,500;328.0714285714286
15:00:07,0;323.4366197183099
15:00:07,500;213.8901098901098
15:00:08,0;259.468085106383
15:00:08,500;384.92753623188406
15:00:09,0;233.70940170940165
15:00:09,500;35.702279202279215
15:00:10,0;67.32727272727274
15:00:10,500;139.85393258426976
15:00:11,0;47.58536585365854
15:00:11,500;45.1494
15:00:12,0;46.223880597014926
15:00:12,500;114.76395173453996
15:00:13,0;90.19725928597185
15:00:13,500;34.222222222222236
15:00:14,0;38.4864864864865
15:00:14,500;39.59523809523809
15:00:15,0;31.772151898734176
15:00:15,500;38.85
15:00:16,0;43.88157894736842
15:00:16,500;43.65882352941176
15:00:17,0;39.76543209876543
15:00:17,500;39.42307692307695
15:00:18,0;41.02531645569619
15:00:18,500;44.33333333333334
15:00:19,0;43.60526315789474
15:00:19,500;43.853932584269664
15:00:20,0;65.04054054054055
15:00:20,500;129.84126984126988
15:00:21,0;346.18965517241367
15:00:21,500;333.5326086956521
15:00:22,0;312.83076923076914
15:00:22,500;419.1039426523298
15:00:23,0;377.5696202531646
15:00:23,500;373.18081636666744
15:00:24,0;457.4925373134328
15:00:24,500;585.918918918919
15:00:25,0;798.6963580517771
15:00:25,500;781.9142857142856
15:00:26,0;1040.6249999999998
15:00:26,500;1274.8421052631577
15:00:27,0;1225.1654351395734
15:00:27,500;1001.46
15:00:28,0;1247.9376993807468
15:00:28,500;1282.7428571428572
15:00:29,0;1160.0105263157895
15:00:29,500;985.7126436781609
15:00:30,0;937.7806577480491
15:00:30,500;991.59375
15:00:31,0;1073.2500000000005
15:00:31,500;1023.4722222222232
15:00:32,0;908.5326086956521
15:00:32,500;1024.0
15:00:33,0;1081.1810699588482
15:00:33,500;1034.571428571428
15:00:34,0;979.7977603583427
15:00:34,500;922.5471698113207
15:00:35,0;945.1574750830564
15:00:35,500;945.9090909090909
15:00:36,0;999.4757314392018
15:00:36,500;1158.0154320987654
15:00:37,0;1227.1518987341774
15:00:37,500;1157.099999999999
15:00:38,0;1164.896551724138
15:00:38,500;1305.4459459459456
15:00:39,0;1369.4606741573032
15:00:39,500;1240.833214793741
15:00:40,0;1120.537078651686
15:00:40,500;1255.7358490566044
